Character_status,pNN50,rr_count
LeftHandToFace,19.28 %,2724
LetfHandToBody,15.83 %,961
RightHandToBody,18.14 %,1021
RightHandToFace,18.91 %,2238
TouchBody,15.69 %,1518
TouchFace,17.54 %,822
Walk,16.53 %,1350
