Character_status,pNN50,rr_count
LeftHandToFace,17.59 %,1883
LetfHandToBody,17.7 %,2097
RightHandToBody,17.42 %,1918
RightHandToFace,17.4 %,1754
TouchBody,17.15 %,3592
TouchFace,16.51 %,2387
Walk,19.11 %,1660
