Character_status,pNN50,rr_count
LeftHandToFace,15.76 %,737
LetfHandToBody,18.07 %,997
RightHandToBody,19.87 %,1068
RightHandToFace,16.74 %,879
TouchBody,16.88 %,2134
TouchFace,16.28 %,1893
Walk,17.4 %,2012
