Character_status,pNN50,rr_count
LeftHandToFace,17.61 %,1847
LetfHandToBody,16.98 %,3269
RightHandToBody,18.99 %,2013
RightHandToFace,16.9 %,1894
TouchBody,19.48 %,2224
TouchFace,16.6 %,2591
Walk,16.26 %,1600
